ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
1258563716,CCYcGx4MdoWn1cbE88,192.168.1.103,1438,96.6.245.186,443,tcp,ssl,34.899095,1009,9457,S3,T,T,0,ShADadf,9,1377,14,10025,-
1258563710,CRaFwi22ovP9XKkrEj,192.168.1.103,1422,198.189.255.81,80,tcp,http,0.058715,439,2525,S1,T,T,0,ShADad,4,607,4,2693,-
1258563716,CUZGTO1alKbXaHXbLe,192.168.1.103,1432,96.6.248.124,443,tcp,ssl,0.525179,3133,14043,S1,T,T,0,ShADad,14,3701,16,14691,-
1258563703,CkvEnC1NgfeZpt8Ugb,192.168.1.103,1408,65.55.15.124,80,tcp,http,1.489316,1200,3011,S1,T,T,0,ShADd,6,1448,4,3175,-
1258563751,C6Wb6y3CeKmMMo2EOd,192.168.1.103,1444,65.242.27.35,443,tcp,ssl,0.418737,865,4834,SF,T,T,0,ShADdtfFa,10,1285,10,5242,-
1258563716,CMjNjy4BlZKCaZq6Eg,192.168.1.103,1440,96.6.245.186,443,tcp,ssl,34.894352,1842,12598,S3,T,T,0,ShADadf,11,2290,17,13286,-
1258563710,CnoItn4ypEOjwkMCOg,192.168.1.103,1423,198.189.255.81,80,tcp,http,0.27608,872,6171,S1,T,T,0,ShADad,6,1120,7,6459,-
1258563704,CvRtV83FZI9AQ06Uf,192.168.1.103,1414,74.125.19.149,80,tcp,http,0.325292,363,251,S1,T,T,0,ShADad,4,531,3,379,-
1258563710,C44CPk3CR7gnOb4BYe,192.168.1.103,1424,198.189.255.74,80,tcp,http,0.432476,866,1312,S1,T,T,0,ShADad,6,1114,4,1480,-
1258563700,CGgj782lVIGoJp1Tz,192.168.1.103,1401,74.125.19.139,80,tcp,http,0.263831,635,450,S1,T,T,0,ShADadt,5,843,4,1068,-
1258563653,ClUAYO12LzXhYSaJ7b,192.168.1.103,1400,74.125.19.100,80,tcp,http,47.891709,3686,3014,S1,T,T,0,ShADad,16,4334,14,3582,-
1258563652,CYUA443CzqGjqGTQw4,192.168.1.103,1399,74.125.19.104,80,tcp,http,50.740158,3587,23760,S1,T,T,0,ShADad,18,4315,25,24768,-
1258531204,CmeNcW3xLbz7Gpkkd4,192.168.1.1,626,224.0.0.1,626,udp,-,32520.00001,35805,0,S0,T,T,0,D,1085,66185,0,0,-
1258562686,CViQZkScGaDrmtTI5,192.168.1.104,1422,69.147.86.184,80,tcp,http,1066.603117,793,244265,S1,T,T,0,ShADdt,1953,78921,1952,322621,-
